gene	X921.D28A	X921.D28B	X921.D28C	X921.D42A	X921.D42B	X921.D42C
EIF4A3	-0.34903765283877	-0.377002666794916	-0.369007757575952	-0.350887755327969	-0.744783266407987	-0.360413845473852
ELL	-0.617037639329248	-0.670727027848078	-0.81485960990894	-1.14392586408977	-0.964441157457357	-0.905093914630542
ELL2	-0.138909567583493	-0.28165418137001	-0.314216453567356	0.00911999037838357	-0.301249130404786	-0.388992567699058
ENOX1	-0.227500745174371	-0.145271624711497	-0.0458459447049884	-0.109497634401194	-0.289152540962453	-0.0226915440936798
ENOX2	0.0501024390391815	-0.0823953156148639	-0.113147588349333	0.0852139377068567	-0.0555956733291495	-0.178881101878077
EP300	-0.322007872514033	-0.198424032136091	-0.283228149448779	-0.181122284038444	-0.134256123291371	-0.374750203889681
EPC1	-0.12145033241393	-0.314575666861386	-0.202209401454666	-0.270374661209728	-0.602032793278906	-0.344668226976493
EPC2	-0.56448148859118	-0.563574622745819	-0.400692932192367	-0.912772594601103	-0.980308197838897	-0.537502904249928
EPHA2	-0.242926855344434	-0.307621368647665	-0.19451121392395	-0.262122005621857	-0.277658946615908	-0.201141544429888
EPHA3	-0.154602191792395	-0.101991731902915	-0.152682548358326	-0.18287393753666	-0.130139911337794	-0.175696366132516
EPS15	-0.586475378437249	-0.47259993737699	-0.551835039960252	-0.801204086522281	-0.798175689428257	-0.912198001352658
EPS15L1	-0.366191974658344	-0.449241338069109	-0.510830796365411	-0.471696491086411	-0.38390711001737	-0.547091943250351
ERBB3	-0.367964995164049	-0.415645838629484	-0.392797902657116	-0.568432773043444	-0.640998264410513	-0.524679611576389
ERC1	-0.15961250134618	-0.195924002722959	-0.224109815495637	-0.154792565060868	-0.306600631606662	-0.115468797039008
ERC2	-0.262246323093332	-0.19211090930505	-0.152149123625766	-0.298559267553903	-0.241530735523634	-0.10222366424207
ERH	0.0380391779759412	-0.140511393688623	-0.126974873533007	0.108789714929897	-0.103590436802815	-0.299460059732566
ERN1	-0.163474667636092	-0.226159868990217	-0.195712614767619	-0.316476688861228	-0.190026587455855	-0.309778109834834
ERN2	-0.117640489517113	-0.0722113151667787	-0.151975248054971	-0.247234738171009	-0.0741891580211751	-0.211638934143981
ERO1A	-0.172187848069413	-0.154954357655412	-0.0776002216728071	-0.106033961351071	-0.123578587568867	-0.116017503262195
ERO1B	-0.34433829559169	-0.36186797637896	-0.536122132016414	-0.42455781246683	-0.421061723981429	-0.655636023192841
ESRP1	-0.445507893698978	-0.521792460217929	-0.682885687379741	-0.760018412631366	-0.560478958775376	-0.859786783654784
