gene	X921.D28A	X921.D28B	X921.D28C	X921.D42A	X921.D42B	X921.D42C
BATF3	-0.39197877532823	-0.447616431963748	-0.317499073450977	-0.517432689784299	-0.443634129264422	-0.306308892203428
BCAP31	-0.270616890118522	-0.330759597015891	-0.3431303258918	-0.340399154440046	-0.467537345655203	-0.486595430661882
BECN1	-0.373732940400427	-0.468873247539014	-0.468175970479312	-0.395239914994046	-0.578441681035582	-0.539392787427672
BECN2	-0.368743569434234	-0.349143707045233	-0.411592689493184	-0.505966758672537	-0.331173476994062	-0.323874686997407
BICD1	-0.411947144479557	-0.281361328906837	-0.51438531722792	-0.535741001878535	-0.479668108057135	-0.499571236720311
BICD2	-0.289977733839303	-0.463740348229651	-0.486602841085435	-0.31142853483102	-0.613226179345039	-0.654001378562724
BRD8	-0.727097579655519	-0.600775132812762	-0.557403925182334	-1.04709819382277	-0.95507547056661	-0.560311649134093
BRSK1	-0.288576671663022	-0.340942043861994	-0.367531438540675	-0.384782522304439	-0.47439172672603	-0.377382287518222
BRSK2	-0.516052350398	-0.599867749467805	-0.476074849447582	-0.583478992821696	-0.744640703163459	-0.587270510103808
BTBD11	-0.381786416193412	-0.324661594231117	-0.402744268818182	-0.424782877345715	-0.376487809746777	-0.419660330554434
BTG1	-0.422736905184188	-0.361080988941101	-0.359517694732692	-0.453904963882522	-0.442927082207316	-0.473023034338527
BUB1B	-0.744481303618949	-0.698967371294488	-0.723764563417953	-0.738083703382086	-0.704643345084265	-0.887527896361185
BUB3	-1.66584976267198	-1.51372038497529	-1.66301840644308	-1.96956417598293	-1.69857956378393	-2.24950654549287
BZW1	-0.342320750289699	-0.358885901778347	-0.2721473206631	-0.305354511779317	-0.263629927515019	-0.371532567844211
BZW2	-0.44263910050207	-0.404979052861424	-0.473020733629398	-0.657232895704661	-0.777866176891347	-0.775261470456204
CAB39	-0.288219205445194	-0.309782123819852	-0.334581099855907	-0.341068416210417	-0.597277176100875	-0.23976237243866
CAB39L	-0.20776951277993	-0.218066308992202	-0.292128413245532	-0.443820328677587	-0.230119473509479	-0.317630623769252
CABP5	-0.455886770356538	-0.4823963469461	-0.506756030271304	-0.535056792872316	-0.456904318182273	-0.48448955477181
CADPS	-0.205111867170844	-0.173265288988945	-0.30931872635128	-0.143034631226176	-0.131844305090053	-0.282655698133826
CADPS2	-0.168416249987763	-0.185159803015422	-0.279949993310258	-0.360793000933079	-0.163270926611468	-0.292986476988085
CALY	-0.291232823563793	-0.356230114597801	-0.354432246428173	-0.499349745580091	-0.463909095469953	-0.357088478500725
CAND1	-0.390618922973307	-0.443910839818001	-0.445785596691219	-0.516204139023772	-0.573493243104946	-0.593699996843489
CAND2	-0.361585145206502	-0.411361916631682	-0.273877016602161	-0.539836111882773	-0.314892106607167	-0.256637086335253
CAP1	-0.458224665023578	-0.408166019343831	-0.539039968576294	-0.427953088665683	-0.460527322411328	-0.627347125162389
CAP2	-0.380631572089503	-0.38385862451711	-0.403499370827727	-0.456335388423009	-0.387803614278702	-0.41511265253346
CAPN2	-0.443158422010441	-0.541756132443865	-0.436005951561656	-0.627907099852922	-0.590548951276985	-0.546059139011887
CASP4	-0.25576005268384	-0.298892110317516	-0.269646938663394	-0.208643771232057	-0.205538401996293	-0.22573148729084
CAT	-0.173739953719236	-0.171002925993544	-0.254088018520332	-0.291529648558732	-0.127179653058812	-0.233275802846949
CAV1	-0.208746096572617	-0.193785383687803	-0.140217020790489	-0.222966668510012	-0.174496385492203	-0.174233163656018
CAVIN1	-0.605934437854255	-0.539714634925939	-0.558055357536952	-0.860192245541513	-0.692905555256263	-0.653835604195432
CBLL1	-0.490195288536894	-0.455609681055204	-0.39574423293686	-0.760410526043146	-0.629824623310705	-0.577952744208196
