gene	Mel270.D28A	Mel270.D28B	Mel270.D28C	Mel270.D35A	Mel270.D35B	Mel270.D35C
DCAF4L2	-0.0916494648040304	-0.0800810333194172	-0.07259131807992	-0.100867690782337	-0.141794182383498	-0.0215057297334142
DCAF8L1	-0.0203329849224193	-0.0210227580721955	-0.234257834145712	0	0	-0.310851427365796
DDI1	-0.0670030391117674	-0.0592926420801961	-0.110223205560174	-0.0974439358228388	-0.110548084400392	-0.180009019350729
DDI2	-0.307983442936482	-0.317548329248716	-0.362498517778378	-0.270400245195313	-0.492758911963773	-0.466858216125948
DDX17	-0.0198380873393882	-0.211627884996227	-0.140972234037558	0	-0.119223221023636	-0.226844140972185
DDX39A	-0.14920445040725	-0.13262929144949	-0.159460280359677	-0.102226715298586	-0.208108296805385	-0.189547450010456
DDX39B	-0.36505573637747	-0.295990220832661	-0.310674726271792	-0.484020372736977	-0.393626226690537	-0.254609968415885
DDX5	-0.64838531908103	-0.528567788050348	-0.487628466989183	-0.629707142934786	-0.56734120624732	-0.670874871983273
DEGS1	-0.0276774136124774	-0.172890578682594	-0.265000502638417	-0.0350659206035186	-0.165021870738456	-0.310341327335403
DEGS2	-0.305512462203202	-0.17546674314248	-0.20012337964824	-0.291995212067513	-0.247521435029729	-0.167384432680066
DENND5A	-0.283046670969499	-0.0652132085941584	-0.310555364958689	-0.290495326271234	-0.0963294056695376	-0.441307950675577
DENND5B	-0.0291034355998332	-0.0551070213489929	-0.0201091153770151	-0.0405171730624034	-0.0420985738609845	-0.0103638802881948
DGAT1	-0.280371356729604	-0.22039324900731	-0.134069138132646	-0.296258392581158	-0.206393223519037	-0.107210190824239
DGAT2L6	-0.0975672971273614	-0.0103124097920839	-0.073252629686045	-0.0615378376354088	-0.00970100858696967	-0.195034699985174
DGKI	-0.2396531831382	-0.0773178005107006	-0.246952569362494	-0.240026249604477	-0.154718338752192	-0.322778572161635
DGKZ	-0.461680179830628	-0.51904228821223	-0.521755894323986	-0.691032603224336	-0.569376326772995	-0.736797932172497
DHX29	-0.23098113246749	-0.299612582137813	-0.241744277631903	-0.22467824242562	-0.280280873924298	-0.271832256307422
DHX9	-0.926340403892795	-0.962140186044825	-0.975197893103277	-0.959600079665398	-0.971849356862984	-0.988804463501048
DLL1	-0.0369704737105223	-0.184177862378041	-0.12081017208716	-0.0537987575459861	-0.186694699113595	-0.0764862399327444
DLL4	-0.113788238502934	-0.0575654028751645	-0.17136252531247	-0.118528456591051	-0.0909981172904809	-0.17230274992756
DMD	-0.289874230816683	-0.0772466279075293	-0.306190596971126	-0.312825047332645	-0.0545993131398336	-0.360554957905046
DMP1	-0.310363130729168	-0.173590226794043	-0.197969168051793	-0.23321277637199	-0.21353711616151	-0.136877049492891
DMXL1	-0.099589628599154	-0.0734430969043261	-0.165150152905881	-0.0826475028908219	-0.0148000175364446	-0.20868199785863
DMXL2	-0.392214776128946	-0.178862746010517	-0.146703813708656	-0.439950892437309	-0.165099628419003	-0.115903116978527
DNAJC15	-0.215533232917447	-0.279067582715565	-0.0549348448424555	-0.258241362322256	-0.166344850561326	-0.0417518043514901
DNAJC19	-0.10599674843433	0	-0.191047104680528	-0.180515096372383	0	-0.177482745630369
DPCR1	-0.124575501360973	-0.154998128569505	-0.0912535308906569	-0.0779520171652164	-0.188792735825883	-0.0881675497326975
DRD3	-0.0796866377670133	-0.0498440484009405	-0.143499959127921	-0.0211249845212377	-0.0722016946713291	-0.106439286114968
DST	-0.10259498672626	-0.0450343126028784	-0.193646101778177	-0.0863444527881139	-0.0773669115413795	-0.136053266231333
DUOX1	-0.131507188742729	-0.219130343509906	-0.0940595846321503	-0.107716544274783	-0.129015361427984	-0.118411184221192
DUOX2	-0.260304666259921	-0.15913400219524	-0.301951445587154	-0.355211126775151	-0.13312777008651	-0.292342180198794
DUSP10	-0.242808954395427	-0.174233409013297	-0.244131419146541	-0.331480773123405	-0.0981648838190812	-0.263952113604211
DYNC1LI1	-0.270788881778887	-0.168650700689822	-0.145985317391169	-0.294636168283872	-0.0738977992034576	-0.0828697456746079
DYNC1LI2	-0.17351941621502	-0.102765417585336	-0.120299341514103	-0.0981296110248187	-0.143709364432528	-0.15110224372551
DYNLRB1	-0.88392315496166	-0.964596882715609	-1.11299453907386	-0.868973616899833	-0.989765463897805	-1.18335738204707
DYNLRB2	-0.033120088228098	-0.154505064753898	-0.0974350807296712	0	-0.135483037299922	-0.107880731998619
DYNLT1	-0.175135896228261	-0.144645004812103	-0.191217249336186	-0.122339210627675	-0.152895269433134	-0.211415233832487
DYNLT3	-0.0955962810334287	-0.0862579862037126	-0.0772664994432993	-0.129512591805116	-0.0658329547311788	-0.0933677114784786
DZIP1L	-0.140186207205996	-0.14380080793209	-0.101211163343133	-0.0461877735312188	-0.118433486684454	-0.0709444579317615
DZIP3	-0.218496333765841	-0.219125040492365	-0.0852944244580186	-0.198089067398337	-0.255317680654228	-0.054160411711913
E2F3	-0.994536187263873	-1.48572501390354	-1.29209263605424	-1.21044979679057	-1.44637225119273	-1.50396052956401
E2F4	-0.142858473929325	-0.203236112351112	-0.38410977965998	-0.175587831218976	-0.211127713677287	-0.495195022311074
EAF1	-0.176784724191861	-0.161217920199636	-0.282625557306347	-0.271059909955588	-0.143246323793493	-0.331079389484303
EAF2	-0.052782451765301	-0.0433573356684506	-0.162128282726803	-0.0903983569656147	-0.0134316083714627	-0.356443310016125
EEFSEC	-0.158968541055324	-0.175976101264548	-0.323098550038329	-0.330625834610049	-0.271250682385195	-0.368687286043212
EFNB1	-0.131824053521921	-0.159916744065946	-0.108261493535105	-0.157948884342553	-0.0772585505557782	-0.136838847702426
EFR3A	-0.147557320895013	-0.0638441296207869	-0.161684264032244	-0.12316026729727	-0.106577371562171	-0.16112550863799
