gene	X921.D28A	X921.D28B	X921.D28C	X921.D42A	X921.D42B	X921.D42C
PSMB3	-1.29481709395914	-1.11405496106305	-1.22303764103905	-1.67794636415197	-1.27197524875998	-1.8192684009765
PSMB6	-0.947546939247547	-0.908454580843842	-0.941946105974971	-1.38616737883893	-1.13626893036733	-1.3840864823208
PSMB8	-0.396663701265489	-0.420771139990128	-0.449282760611031	-0.281281804372043	-0.516704290534127	-0.462822311373405
PSMB9	-0.366185294625388	-0.377301241729144	-0.357845578612084	-0.685236704652943	-0.361970033829288	-0.589125024126755
PSMC3	-0.673581320202948	-0.706770168261797	-0.785631393654495	-0.775882512030979	-0.990582096464825	-1.10535954307763
PTCH1	-0.293302951918214	-0.36324504516233	-0.357388418484011	-0.390848360255983	-0.459194992534837	-0.354367509139472
PTCH2	-0.29981947734598	-0.249573751264345	-0.304433874389584	-0.455519529807588	-0.277573970180958	-0.304920683726574
PTF1A	-0.290659325745107	-0.229695782436152	-0.301420925999827	-0.410403602367791	-0.377118009179177	-0.368742403514393
PTPN11	-0.332585220567821	-0.312932867529149	-0.314329817112316	-0.488751654112553	-0.250771403819419	-0.226467871755791
PTPN14	-0.156950747032944	-0.224901507223559	-0.196389461379408	-0.146622643385934	-0.233255689461092	-0.128438200352555
PTPN21	-0.162219322549654	-0.268773425685632	-0.22943842707007	-0.0525715329071293	-0.257077468974391	-0.277853307743252
PTPN6	-0.38985504463565	-0.315647943229917	-0.368511773732944	-0.531239115931159	-0.417020959306735	-0.549720425779278
PTTG1	-0.5738577260238	-0.566708121400843	-0.64796561294332	-0.712952480020688	-0.611862344095372	-0.939248930270235
PUM1	-0.824687698107335	-0.793356026753003	-0.72531193629044	-1.01991632825212	-1.1580568773085	-1.04055491312385
PUM2	-0.491628390025686	-0.617108756747427	-0.684045903466366	-0.73251033555708	-0.73028443921609	-0.84013308285891
PXDN	-0.29144412073104	-0.36241313873767	-0.382326858141818	-0.252404415605911	-0.265179537677404	-0.596763806709486
