gene	OMM23.D28A	OMM23.D28B	OMM23.D28C	OMM23.D35A	OMM23.D35B	OMM23.D35C
CDK17	-0.244664768438771	-0.13054716212776	-0.201536166979537	-0.33672986822336	-0.203917350427815	-0.186375360459806
CDK19	-0.158420224752812	-0.117726534765911	-0.154548109014661	-0.100987021165477	-0.145336154893714	-0.171771334618898
CDK2	-0.648070837458097	-0.497996996497388	-0.482182251507069	-0.594234343579747	-0.523921614069042	-0.564742315447595
CDK5R1	-0.155103906902541	-0.231835340919162	-0.192867347855111	-0.210245607612244	-0.18679013856564	-0.155263339608159
CDK5R2	-0.167266361975296	-0.267407593393901	-0.253054399564389	-0.190207383142245	-0.196070079304924	-0.171539740643127
CDK7	-1.06060789905486	-1.12041812046291	-0.945860736791979	-1.18283024943381	-1.29474268895619	-0.917963539027047
CDK8	-0.453776422257311	-0.284343948394906	-0.297992818539706	-0.442338076786938	-0.364405400098679	-0.354333892972351
CDNF	-0.0907622344128894	-0.0651212615355415	-0.0625359321018445	-0.0956421514144846	-0.0775254735044545	-0.0473171584944108
CDS1	-0.282702789813676	-0.0474707374056171	-0.182829520899702	-0.254593213754997	-0.0286086838753071	-0.203975967818313
CDS2	-0.605723021681306	-0.621850971238296	-0.71750629351523	-0.678678082932148	-0.599672282973574	-0.696965152071039
CEACAM1	-0.234428662752496	-0.300391286899555	-0.183940869304205	-0.167389714635463	-0.255726699305972	-0.126300369097619
CELA2A	-0.168632001707204	-0.260307804158019	-0.19684387454074	-0.116446243558572	-0.220043445171004	-0.22719439343577
CFL1	-0.405220927880123	-0.436657455936141	-0.404340343857516	-0.462708282469081	-0.599970412769162	-0.49814290132993
CHM	-0.0731228811361182	-0.0780236814623651	-0.154832553841778	-0.0629014656148841	-0.10531062624499	-0.115404282373496
CHML	-0.10399321539181	-0.0847631546468843	-0.103273477144869	-0.106189636419864	-0.10601137590941	-0.156563323186313
CHMP1A	-0.379298155050241	-0.328098156489584	-0.409113389440899	-0.355560444998018	-0.399636017159733	-0.47495785084955
CHMP1B	-0.161218657308912	-0.148580504136025	-0.0909404883811513	-0.175382138416978	-0.165685293040772	-0.0825809000790691
CHORDC1	-1.54326875011787	-1.25444488475814	-1.21010742991817	-1.55686955278061	-1.25395283952298	-1.18669744647831
CHRNB3	-0.00977705420451718	-0.0369801018536105	-0.0962409396203028	-0.0927909136362187	-0.0613580500020289	-0.119870770913461
CHSY1	-0.061039081672885	-0.0962252585261704	-0.0707847546182272	-0.0791391864691111	-0.111604358939373	-0.137409403290017
CHSY3	-0.133018722456083	-0.149359045298854	-0.169246761608217	-0.18153960514282	-0.151772743620312	-0.148395500097317
CHUK	-0.212912547241837	-0.189877242182025	-0.189290582056511	-0.165258629651009	-0.210358970872594	-0.175641267197824
CKAP5	-0.766570647732704	-0.774089957123817	-0.853762390611071	-0.815167451536819	-0.811193840086338	-0.969041139789468
CLASP1	-0.210570565991906	-0.213042077462406	-0.147692982123771	-0.177365690650606	-0.275484526457138	-0.137298731889732
CLASP2	-0.0105564726759307	-0.0461785544779729	-0.0564339814371878	-0.0492718531152881	-0.00208063390224636	-0.0506372442815993
CLCA1	-0.174967885914187	-0.135829280745114	-0.176380645598511	-0.200800986802247	-0.108143543896921	-0.140766686752907
CLDN4	-0.129211937272226	-0.146141755236899	-0.100361845262343	-0.120558843602211	-0.144226174417576	-0.0735359093437984
CLIP4	-0.0593150931476175	-0.0459824472238237	-0.128599757149168	-0.0619666422310536	-0.0955618227358998	-0.10227464762989
CLNS1A	-0.979068676905666	-1.06349750972729	-1.10757681763669	-1.19585789482257	-1.14559878518874	-1.11680765867431
CLTA	-0.185086549884566	-0.213005439687721	-0.322091812194811	-0.21147847992305	-0.221538059312614	-0.289326010485522
CLTB	-0.168501376061893	-0.0642185631742283	-0.149687964623163	-0.153184860791133	-0.149480286542304	-0.129401686691211
CLTC	-0.743189468340095	-0.759318743958805	-0.623730555602248	-0.92258465770592	-0.787646326230535	-0.710654031144853
CLTCL1	-0.209257818355348	-0.253467923071063	-0.137811829833854	-0.261384156503669	-0.349758678510232	-0.16626531309319
CNOT6	-0.167871994236208	-0.079165655634891	-0.140017780715859	-0.127741426794222	-0.118390019239925	-0.114648173897797
CNOT6L	-0.127752555030009	-0.0266465159384157	-0.0938892140045349	-0.0896225452154096	-0.0290896805680459	-0.116022177227635
CNOT7	-0.132626615345527	-0.168077094197314	-0.204011188496873	-0.10673658029008	-0.227757138899216	-0.122061196747238
CNOT8	-0.159368636697445	-0.0313234039787207	-0.0342797643973972	-0.227167658216672	-0.14193026839893	-0.0607443121985173
COPA	-1.22299520211401	-1.04052356928747	-1.27806431385468	-1.31027030085016	-1.14167383357843	-1.12573987573901
COPG1	-0.216067807210143	-0.268871096463765	-0.269906885618428	-0.218173094984196	-0.351915666564015	-0.369301241727135
COPG2	-0.30120991424057	-0.210355704614076	-0.155635195068682	-0.215612880116416	-0.303116008876174	-0.135424022173549
COPS7A	-0.165836367154654	-0.103206065655568	-0.181053329208391	-0.0918923508545763	-0.0496974607973986	-0.157899437948217
COPS7B	-0.286313456232614	-0.13027791475228	-0.141660301853468	-0.235075578687847	-0.289240650816155	-0.199824057990427
COPZ1	-0.434192681309056	-0.552959981481935	-0.477192361160231	-0.485465686792965	-0.544216944014315	-0.477767537013626
COPZ2	-0.139146929351096	-0.113863307949939	-0.102314924449392	-0.106525521903845	-0.0679435558410773	-0.0673038547640161
COQ10A	-0.340404193864536	-0.335627016637606	-0.255351142173554	-0.413064616591064	-0.223375660480121	-0.266189317523615
COQ10B	-0.322047118367163	-0.479525448673563	-0.236255896158065	-0.309622441096217	-0.534917961836773	-0.25337549970405
COX4I1	-0.864093156197872	-0.561390206389661	-0.958681420264338	-0.945868529451657	-0.681665208256038	-1.03760429763009
