gene	X921.D28A	X921.D28B	X921.D28C	X921.D42A	X921.D42B	X921.D42C
RIC8A	-0.669535237065163	-0.528832658055522	-0.585319851232642	-0.873800911533711	-0.754580646095708	-0.912197108643593
RIC8B	-0.0957105732098085	-0.111948635364766	-0.0517901973973035	-0.119769056707783	-0.0854717556692092	-0.201789446435698
RIMKLB	-0.388844167589667	-0.569759207421835	-0.45599142223592	-0.429213880478884	-0.840931173493433	-0.567124995839796
RING1	-0.348833243091667	-0.527708062500114	-0.482873541910638	-0.553594325809417	-0.756279274370605	-0.470414366110895
RNF10	-0.260760266896625	-0.247216416754735	-0.319861643409881	-0.366102502025484	-0.391120745270327	-0.523304435256641
RNF103	-0.179629917245561	-0.289538048966298	-0.248386832759049	-0.37422906502582	-0.365860122562146	-0.314173174359713
RNF113A	-0.472610469158618	-0.576992448122091	-0.626913853333199	-0.618718790084701	-0.772692450802322	-0.638764814073963
RNF113B	-0.333784588606963	-0.260198913534172	-0.411079930701698	-0.219344165068624	-0.321464464139776	-0.504373667059095
RNF125	-0.160724018863026	-0.184122863698465	-0.186624597487749	-0.380565746881654	-0.474461161690089	-0.2628298234242
RNF130	-0.254702338524373	-0.241888542447813	-0.279498130118037	-0.281662707502503	-0.250550261884061	-0.430417570364734
RNF144A	-0.147327958709914	-0.116913073405624	-0.151977324368034	-0.221407920301313	-0.246509368657869	-0.214777035157561
RNF144B	-0.449234750682905	-0.344504252979579	-0.443063074655369	-0.561571399551313	-0.385807707710777	-0.478497869519867
RNF2	-0.326432306709296	-0.0899570118817634	-0.30108809190094	-0.312658854628563	-0.094880399049611	-0.355687900882444
RNF20	-0.345900341249706	-0.344765042796553	-0.220355729060665	-0.311795225130902	-0.407373247671772	-0.397211603217171
RNF38	-0.47266345870562	-0.451055294483622	-0.322324765721371	-0.743362206592427	-0.48595462210794	-0.396929513019647
RNF40	-0.555036504080496	-0.397820837531125	-0.466915996936734	-0.634537812938519	-0.402105417858717	-0.525546659063624
RNF44	-0.321987867059202	-0.211867465375032	-0.204074951117035	-0.439327943788436	-0.255029103160597	-0.180897040636964
RP1	-0.692508392855592	-0.628114553134775	-0.470363974515486	-0.787021804968516	-0.554355026369057	-0.612217669480556
RPA1	-0.537162275900044	-0.453316145682959	-0.485760850626907	-0.770122121376667	-0.530540158308233	-0.571384338497537
RPA3	-0.145033844277961	-0.361097553314611	-0.382527980863771	-0.294298314025965	-0.497677186925257	-0.623451105844369
RPL10A	-0.923278499973497	-0.849150460143235	-0.717859263141722	-1.07536766466573	-1.11872600774324	-1.03381666421695
RPL11	-0.551638916534594	-0.61482648719771	-0.524578019436641	-0.655693777476012	-0.87812047505653	-0.646719888575889
RPL13	-0.841202663771229	-0.553079417498072	-0.874439862997497	-1.06842361047725	-0.72625061858422	-1.09788888530048
RPL14	-1.03637087523717	-1.0638420683029	-1.27617320511571	-1.5911697899321	-1.18355242451033	-1.27311023655686
RPL15	-0.391218032609875	-0.173756148591223	-0.158587272321987	-0.475598461780978	-0.407526996460165	-0.257836514633887
RPL17	-0.217846053874941	-0.536912695317444	-0.588649205065366	-0.325010487893499	-0.741582228340869	-0.768072077947156
RPL18A	-0.455009696260058	-0.780264130446453	-0.951645321168007	-0.374222556486992	-0.92857708151429	-0.718663933033048
RPL19	-0.94505355142779	-0.729121894924251	-0.603945972554602	-1.11595359191273	-0.865911054404981	-0.712059861782851
