gene_pair_id	qc_group	cancer_type	sorted_gene_pair	targetA	targetB	mean_norm_gi	median_norm_gi	variance_norm_gi	nexp	n_replicates	n_guide_pairs	n_sig_guide_pairs	mean_grna_count_all	median_norm_gi_all	variance_norm_gi_all	svar	gi_t_score	plow	phigh	fdr
TANC1|TANC2	Mel285 D28	Uveal melanoma	TANC1|TANC2	TANC1	TANC2	0.450346959156585	0.502345506744643	0.0934849466219064	84	3	28	0	92.8015564202335	0.462309269531704	1.00852430788466	0.0121122419694316	0.363781814332264	0.641989528185279	0.358010471814721	0.641989528185279
CYP26C1|NSDHL	Mel285 D28	Uveal melanoma	CYP26C1|NSDHL	CYP26C1	NSDHL	0.373720249585378	0.506284504823757	0.334395966861815	96	3	32	0	92.8015564202335	0.462309269531704	1.00852430788466	0.0145058748572502	0.365120492563197	0.642489267749784	0.357510732250216	0.642489267749784
ZNF284|WRN	Mel285 D28	Uveal melanoma	WRN|ZNF284	ZNF284	WRN	0.347120877403765	0.506374131744071	0.296045542883419	96	3	32	0	92.8015564202335	0.462309269531704	1.00852430788466	0.0141021861837934	0.371064318269498	0.644705186646138	0.355294813353862	0.644705186646138
SIRPA|TYROBP	Mel285 D28	Uveal melanoma	SIRPA|TYROBP	SIRPA	TYROBP	0.392035154840916	0.506284504823757	0.20901136931387	72	3	24	0	92.8015564202335	0.462309269531704	1.00852430788466	0.0139297394143486	0.372594702451356	0.645274941890316	0.354725058109684	0.645274941890316
CAP2|CAP1	Mel285 D28	Uveal melanoma	CAP1|CAP2	CAP2	CAP1	0.308678067006994	0.51326273205289	0.70613731020377	96	3	32	0	92.8015564202335	0.462309269531704	1.00852430788466	0.0184189416292708	0.375440712894562	0.646333634460827	0.353666365539173	0.646333634460827
FOXK2|FOXK1	Mel285 D28	Uveal melanoma	FOXK1|FOXK2	FOXK2	FOXK1	0.299608255512248	0.511748505500732	0.556020383938157	96	3	32	2	92.8015564202335	0.462309269531704	1.00852430788466	0.0168387634580538	0.380992698228884	0.648395666677921	0.351604333322079	0.648395666677921
VPS37A|STAM	Mel285 D28	Uveal melanoma	STAM|VPS37A	VPS37A	STAM	0.453301655930371	0.504404632704514	0.115674182388166	96	3	32	0	92.8015564202335	0.462309269531704	1.00852430788466	0.0122035402838434	0.381058225878725	0.648419978031187	0.351580021968813	0.648419978031187
TAP1|ASCL1	Mel285 D28	Uveal melanoma	ASCL1|TAP1	TAP1	ASCL1	0.333059246079969	0.508462027596455	0.324809816907518	96	3	32	0	92.8015564202335	0.462309269531704	1.00852430788466	0.014404968015626	0.384539989569702	0.649710868712068	0.350289131287932	0.649710868712068
MACF1|DST	Mel285 D28	Uveal melanoma	DST|MACF1	MACF1	DST	0.408835344107428	0.508462027596455	0.275207737669733	96	3	32	0	92.8015564202335	0.462309269531704	1.00852430788466	0.0138828408657546	0.391704433012149	0.652361692899606	0.347638307100394	0.652361692899606
RECK|UMPS	Mel285 D28	Uveal melanoma	RECK|UMPS	RECK	UMPS	0.183345001642686	0.51326273205289	0.55384377066407	96	3	32	0	92.8015564202335	0.462309269531704	1.00852430788466	0.0168158517393792	0.392929166347095	0.652814100521498	0.347185899478502	0.652814100521498
MED13|MED13L	Mel285 D28	Uveal melanoma	MED13|MED13L	MED13	MED13L	0.468838703247654	0.508462027596455	0.254974045529991	96	3	32	0	92.8015564202335	0.462309269531704	1.00852430788466	0.0136698546327047	0.394744157840928	0.653484144769981	0.346515855230019	0.653484144769981
LRFN1|TTC7A	Mel285 D28	Uveal melanoma	LRFN1|TTC7A	LRFN1	TTC7A	0.298992987405094	0.513702571084562	0.563202685873356	96	3	32	0	92.8015564202335	0.462309269531704	1.00852430788466	0.0169143666363191	0.395165160225708	0.653639498612083	0.346360501387917	0.653639498612083
ARHGEF3|NET1	Mel285 D28	Uveal melanoma	ARHGEF3|NET1	ARHGEF3	NET1	0.332810993609268	0.513054027570349	0.458006505241936	96	3	32	0	92.8015564202335	0.462309269531704	1.00852430788466	0.0158070384191462	0.403613730106722	0.656751606222324	0.343248393777676	0.656751606222324
ALAS1|ALAS2	Mel285 D28	Uveal melanoma	ALAS1|ALAS2	ALAS1	ALAS2	0.436363422104633	0.509002789650112	0.221909329676738	96	3	32	0	92.8015564202335	0.462309269531704	1.00852430788466	0.0133218049921441	0.404552677265744	0.657096825230613	0.342903174769387	0.657096825230613
ANXA1|PCGF1	Mel285 D28	Uveal melanoma	ANXA1|PCGF1	ANXA1	PCGF1	0.461009334007065	0.506463758664385	0.0866409713092056	96	3	32	0	92.8015564202335	0.462309269531704	1.00852430788466	0.0118979275356438	0.404798788988898	0.657187290483609	0.342812709516391	0.657187290483609
DENND5B|DENND5A	Mel285 D28	Uveal melanoma	DENND5A|DENND5B	DENND5B	DENND5A	0.261408561865659	0.517546685887567	0.722193567870216	96	3	32	1	92.8015564202335	0.462309269531704	1.00852430788466	0.0185879548678649	0.405151594340991	0.657316958245825	0.342683041754175	0.657316958245825
IRF4|IRF8	Mel285 D28	Uveal melanoma	IRF4|IRF8	IRF4	IRF8	0.336685089181293	0.51326273205289	0.42043301361678	96	3	32	0	92.8015564202335	0.462309269531704	1.00852430788466	0.0154115279809867	0.410441108710063	0.659258802179022	0.340741197820978	0.659258802179022
CBLL1|CBLL2	Mel285 D28	Uveal melanoma	CBLL1|CBLL2	CBLL1	CBLL2	0.371167653462884	0.51184025900567	0.320100456800788	96	3	32	0	92.8015564202335	0.462309269531704	1.00852430788466	0.0143553958039762	0.413398996694895	0.660342845205138	0.339657154794862	0.660342845205138
AP2A2|AP2A1	Mel285 D28	Uveal melanoma	AP2A1|AP2A2	AP2A2	AP2A1	0.510522739880805	0.506284504823757	0.00652651335529276	96	3	32	0	92.8015564202335	0.462309269531704	1.00852430788466	0.0110546174519184	0.418250349658755	0.662117956644978	0.337882043355022	0.662117956644978
ERC1|ERC2	Mel285 D28	Uveal melanoma	ERC1|ERC2	ERC1	ERC2	0.369647106633188	0.513702571084562	0.389054341363452	96	3	32	1	92.8015564202335	0.462309269531704	1.00852430788466	0.0150812261677937	0.418492993732117	0.662206645983749	0.337793354016251	0.662206645983749
ABCG2|MBD4	Mel285 D28	Uveal melanoma	ABCG2|MBD4	ABCG2	MBD4	0.465372620336537	0.508462027596455	0.105269794814165	96	3	32	0	92.8015564202335	0.462309269531704	1.00852430788466	0.0120940204146434	0.419674238110929	0.66263827635523	0.33736172364477	0.66263827635523
CLIP4|SPDEF	Mel285 D28	Uveal melanoma	CLIP4|SPDEF	CLIP4	SPDEF	0.546807101778804	0.509002789650112	0.129473244493182	96	3	32	0	92.8015564202335	0.462309269531704	1.00852430788466	0.0123487935691593	0.420188681996445	0.662826188910938	0.337173811089062	0.662826188910938
