"geneSymbol","modelName","tissue","cancerType","fc_clean","bf_scaled","modelId","geneId","isPanCancer","source"
"SF3A2","Mel-202","Eye","Melanoma","-2.36856","-16.064","SIDM01357","SIDG34248","true","Broad"
"SRSF3","Mel-202","Eye","Melanoma","-2.36603","-15.872","SIDM01357","SIDG36485","true","Broad"
"PSMB4","Mel-202","Eye","Melanoma","-2.36419","-15.895","SIDM01357","SIDG26076","true","Broad"
"ARF4","Mel-202","Eye","Melanoma","-2.36268","-16.262","SIDM01357","SIDG01333","","Broad"
"DHDDS","Mel-202","Eye","Melanoma","-2.36167","-16.254","SIDM01357","SIDG06511","true","Broad"
"ESPL1","Mel-202","Eye","Melanoma","-2.35872","-15.668","SIDM01357","SIDG08125","true","Broad"
"GTPBP4","Mel-202","Eye","Melanoma","-2.34938","-17.625","SIDM01357","SIDG10841","true","Broad"
"PAM16","Mel-202","Eye","Melanoma","-2.34768","-17.61","SIDM01357","SIDG23874","true","Broad"
"UTP4","Mel-202","Eye","Melanoma","-2.34723","-16.604","SIDM01357","SIDG40596","true","Broad"
"MCM7","Mel-202","Eye","Melanoma","-2.34395","-15.864","SIDM01357","SIDG17426","true","Broad"
"UBL5","Mel-202","Eye","Melanoma","-2.33693","-17.514","SIDM01357","SIDG40203","true","Broad"
"SEC61A1","Mel-202","Eye","Melanoma","-2.33641","-15.51","SIDM01357","SIDG33985","","Broad"
"RPL36A","Mel-202","Eye","Melanoma","-2.33505","-16.501","SIDM01357","SIDG32433","true","Broad"
"BUB3","Mel-202","Eye","Melanoma","-2.3346","-15.788","SIDM01357","SIDG02644","true","Broad"
"NCAPG","Mel-202","Eye","Melanoma","-2.31923","-15.904","SIDM01357","SIDG21444","true","Broad"
"DHX15","Mel-202","Eye","Melanoma","-2.31806","-16.358","SIDM01357","SIDG06543","true","Broad"
"SF3A3","Mel-202","Eye","Melanoma","-2.31756","-15.782","SIDM01357","SIDG34249","true","Broad"
"SNRPF","Mel-202","Eye","Melanoma","-2.30602","-15.795","SIDM01357","SIDG35917","true","Broad"
"SNRNP25","Mel-202","Eye","Melanoma","-2.30391","-15.374","SIDM01357","SIDG35867","","Broad"
"DHX37","Mel-202","Eye","Melanoma","-2.30372","-15.251","SIDM01357","SIDG06552","true","Broad"
"RPS7","Mel-202","Eye","Melanoma","-2.30161","-15.758","SIDM01357","SIDG32849","true","Broad"
"EIF3F","Mel-202","Eye","Melanoma","-2.29953","-16.201","SIDM01357","SIDG07546","true","Broad"
"MYC","Mel-202","Eye","Melanoma","-2.29762","-15.487","SIDM01357","SIDG21097","true","Broad"
"MDN1","Mel-202","Eye","Melanoma","-2.2964","-16.501","SIDM01357","SIDG17469","true","Broad"
"WDR18","Mel-202","Eye","Melanoma","-2.28788","-15.102","SIDM01357","SIDG41044","true","Broad"
"RABGGTB","Mel-202","Eye","Melanoma","-2.28304","-15.086","SIDM01357","SIDG26570","true","Broad"
"EIF1AX","Mel-202","Eye","Melanoma","-2.28222","-15.08","SIDM01357","SIDG07496","true","Broad"
"INTS3","Mel-202","Eye","Melanoma","-2.2755","-15.181","SIDM01357","SIDG13138","true","Broad"
"RPL37A","Mel-202","Eye","Melanoma","-2.27442","-15.428","SIDM01357","SIDG32509","true","Broad"
"POLR2C","Mel-202","Eye","Melanoma","-2.2738","-15.132","SIDM01357","SIDG25223","true","Broad"
"SSU72","Mel-202","Eye","Melanoma","-2.27137","-16.286","SIDM01357","SIDG36541","true","Broad"
"CHAF1B","Mel-202","Eye","Melanoma","-2.27119","-14.969","SIDM01357","SIDG04512","true","Broad"
"NUDT21","Mel-202","Eye","Melanoma","-2.27001","-15.952","SIDM01357","SIDG22441","true","Broad"
